CongNum,Year,PD,SD,HD,AllD,PR,SR,HR,AllR,Recession,NoRec,SenTot,SenDem,SenRep,SenOth,SenVac,SenDem%,SenRep%,HiSen%,HouTot,HouDem,HouRep,HouOth,HouVac,HouDem%,HouRep%,HiHou%
81st,1950,1,1,1,1,0,0,0,0,0,1,96,54,42,0,0,0.5630,0.4380,0.5630,435,263,171,1,0,0.6046,0.3931,0.6046
82nd,1951,1,1,1,1,0,0,0,0,0,1,96,48,47,1,0,0.5000,0.4900,0.5000,435,234,199,2,0,0.5379,0.4575,0.5379
82nd,1952,1,1,1,1,0,0,0,0,0,1,96,48,47,1,0,0.5000,0.4900,0.5000,435,234,199,2,0,0.5379,0.4575,0.5379
83rd,1953,0,0,0,0,1,1,1,1,1,0,96,46,48,2,0,0.4790,0.5000,0.5000,435,213,221,1,0,0.4897,0.5080,0.5080
83rd,1954,0,0,0,0,1,1,1,1,1,0,96,46,48,2,0,0.4790,0.5000,0.5000,435,213,221,1,0,0.4897,0.5080,0.5080
84th,1955,0,1,1,0,1,0,0,0,0,1,96,48,47,1,0,0.5000,0.4900,0.5000,435,232,203,0,0,0.5333,0.4667,0.5333
84th,1956,0,1,1,0,1,0,0,0,0,1,96,48,47,1,0,0.5000,0.4900,0.5000,435,232,203,0,0,0.5333,0.4667,0.5333
85th,1957,0,1,1,0,1,0,0,0,1,0,96,49,47,0,0,0.5100,0.4900,0.5100,435,234,201,0,0,0.5379,0.4621,0.5379
85th,1958,0,1,1,0,1,0,0,0,1,0,96,49,47,0,0,0.5100,0.4900,0.5100,435,234,201,0,0,0.5379,0.4621,0.5379
86th,1959,0,1,1,0,1,0,0,0,0,1,98,64,34,0,0,0.6530,0.3470,0.6530,435,283,153,0,0,0.6506,0.3517,0.6506
86th,1960,0,1,1,0,1,0,0,0,1,0,98,64,34,0,0,0.6530,0.3470,0.6530,435,283,153,0,0,0.6506,0.3517,0.6506
87th,1961,1,1,1,1,0,0,0,0,1,0,100,64,36,0,0,0.6400,0.3600,0.6400,435,262,175,0,0,0.6023,0.4023,0.6023
87th,1962,1,1,1,1,0,0,0,0,0,1,100,64,36,0,0,0.6400,0.3600,0.6400,435,262,175,0,0,0.6023,0.4023,0.6023
88th,1963,1,1,1,1,0,0,0,0,0,1,100,67,33,0,0,0.6700,0.3300,0.6700,435,258,176,0,1,0.5931,0.4046,0.5931
88th,1964,1,1,1,1,0,0,0,0,0,1,100,67,33,0,0,0.6700,0.3300,0.6700,435,258,176,0,1,0.5931,0.4046,0.5931
89th,1965,1,1,1,1,0,0,0,0,0,1,100,68,32,0,0,0.6800,0.3200,0.6800,435,295,140,0,0,0.6782,0.3218,0.6782
89th,1966,1,1,1,1,0,0,0,0,0,1,100,68,32,0,0,0.6800,0.3200,0.6800,435,295,140,0,0,0.6782,0.3218,0.6782
90th,1967,1,1,1,1,0,0,0,0,0,1,100,64,36,0,0,0.6400,0.3600,0.6400,435,248,187,0,0,0.5701,0.4299,0.5701
90th,1968,1,1,1,1,0,0,0,0,0,1,100,64,36,0,0,0.6400,0.3600,0.6400,435,248,187,0,0,0.5701,0.4299,0.5701
91st,1969,0,1,1,0,1,0,0,0,1,0,100,58,42,0,0,0.5800,0.4200,0.5800,435,243,192,0,0,0.5586,0.4414,0.5586
91st,1970,0,1,1,0,1,0,0,0,1,0,100,58,42,0,0,0.5800,0.4200,0.5800,435,243,192,0,0,0.5586,0.4414,0.5586
